KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,Lords,Lords AP,Total Power,CH16+,CH16+ AP,Top 600 Power,CH16+ KL,CH25 KL,Alliances,Ally Lords,Unique Alliances Power Order,1B+ KD Power,1B+ Alliance Tags,#1 Ally Power,Top 600 Merits,Top 600 Kills,Top 600 Healts,Top 600 Deads,10-20M,20-40M,40-60M,60-80M,80-100M,100-125M,125-150M,150-200M,200M+
60,ECHO,"26,629,481,307","4,295,072,906",16.13%,"89,630,541,685","273,872,187","53,722,285,988",242,"106,231,467",792,"35,434,666","28,064,255,612",694,"40,404,153","27,943,412,584",0,0,17,676,ECHO,"23,444,170,671",ECHO,"23,444,170,671","4,296,051,915","89,713,176,374","54,201,888,814","286,007,220",80,34,12,6,41,87,37,18,9
339,UHA,"10,437,114,803","1,552,862,871",14.88%,"21,770,525,047","83,565,438","15,731,328,010",180,"53,059,467",679,"15,699,365","10,659,869,029",365,"28,922,768","10,638,170,881",325,176,26,640,"UHA,UHT","10,096,064,010","UHA,UHT","8,341,003,337","1,552,908,234","21,771,412,147","15,760,662,267","84,105,915",28,53,79,33,9,4,3,0,0
283,RFF,"19,499,283,582","2,853,057,936",14.63%,"44,386,328,198","139,090,536","37,829,941,442",446,"56,098,936","1,534","19,668,686","30,171,765,083","1,411","21,352,884","27,135,042,946",0,0,31,"1,363","RFF,HxV,HxV-,Cofe","25,119,382,458","RFF,HxV,HxV-,Cofe","13,910,531,724","3,184,051,398","51,888,487,773","50,789,075,522","183,599,051",182,52,253,81,40,11,3,2,0
229,SSG,"24,971,578,356","3,560,893,086",14.26%,"64,248,943,940","248,300,636","45,515,184,402",285,"86,641,414",877,"32,960,993","28,906,790,774",827,"34,935,202","28,158,951,760",0,0,13,786,"SSG,IMB,SSG2","24,726,090,692","SSG,IMB,SSG2","14,054,364,832","3,572,728,186","64,897,078,253","48,714,076,461","270,525,894",178,15,52,55,74,45,19,12,6
49,NTS,"22,192,918,899","3,091,732,401",13.93%,"61,655,214,632","186,934,334","40,677,898,616",228,"92,911,304",646,"36,041,090","23,282,544,375",588,"39,563,981","23,276,146,325",0,0,9,553,"NTS,NTW","20,656,943,179","NTS,NTW","19,642,121,035","3,092,430,212","61,716,481,145","40,947,485,781","193,559,407",81,11,11,50,67,58,13,8,5
219,:MM:,"19,826,843,817","2,492,735,777",12.57%,"41,032,168,082","177,576,926","31,628,255,898",293,"66,785,958",664,"33,399,728","22,177,419,701",620,"35,752,918","22,149,277,749",0,0,10,585,":MM:,:MN:,:NN:","19,177,782,366",":MM:,:MN:,:NN:","14,081,374,849","2,500,606,050","41,324,097,964","33,366,119,437","192,103,125",93,75,67,71,54,23,7,4,1
259,wAo,"19,326,492,973","2,428,968,247",12.57%,"44,062,454,991","213,369,778","35,212,877,493",245,"75,046,726","1,029","21,728,154","22,358,270,548",928,"24,061,444","21,600,196,022",816,227,21,932,"wAo,LTDT","17,420,252,905","wAo,LTDT","15,900,791,220","2,432,768,722","44,380,871,396","36,418,022,934","227,831,415",111,27,56,55,62,31,5,7,0
68,-GL-,"22,787,234,498","2,852,553,916",12.52%,"53,594,100,234","189,051,297","45,256,533,763",253,"87,544,796",632,"37,679,695","23,813,567,408",590,"40,332,187","23,807,141,998",0,0,9,531,"-GL-,-GG-,-HF~","21,652,914,300","-GL-,-GG-,-HF~","16,457,770,461","2,854,145,808","53,637,264,350","46,026,237,403","202,512,400",52,19,14,47,95,60,9,6,0
41,BD-O,"25,785,279,886","3,199,173,870",12.41%,"64,523,212,851","293,512,238","49,567,308,724",245,"102,017,133",829,"32,611,460","27,034,900,545",744,"36,309,171","26,908,932,944",0,0,18,698,BD-O,"22,200,789,097",BD-O,"22,200,789,097","3,199,657,892","64,577,913,068","49,889,723,444","300,428,277",67,16,11,32,61,81,20,16,6
85,P2W,"23,719,660,464","2,924,944,628",12.33%,"58,830,776,993","256,546,961","45,075,308,638",256,"89,465,995",807,"30,823,220","24,874,338,235",646,"38,449,438","24,811,963,331",0,0,13,661,"P2W,P2W3","20,477,608,962","P2W,P2W3","19,356,904,230","2,926,539,848","58,920,711,294","45,433,738,332","263,408,355",49,34,17,37,97,65,11,4,2
