KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,60-80M,80-100M,100-125M,125-150M,150-200M,200M+,#1 Ally,Total KD Power,CH16,Lords,CH16 AP,Lords AP,CH16 KvK,CH25 KvK,Allies,Ally Lords,Unique Alliances in KD,1B+ Power,1B+ Ally Tags,Top 600 Power,Top 600 Merits,Top 600 Kills,Top 600 Heals,Top 600 Deads,10-20M,20-40M,40-60M,40-60M
1,FVP,6584745822,40243496,0.61%,6891650281,70650630,11416790157,113,55214600,34,8,2,0,0,0,"5,734,801,659","6,867,053,250",180,194,"38,118,579","35,397,182",117,87,6,164,FVP,"5,734,801,659",FVP,"6,584,745,822","40,243,496","6,891,650,281","11,416,790,157","70,650,630",20,35,41,49
2,02-A,2074945773,8331321,0.40%,2246051741,19287086,3016877088,37,52786897,5,2,3,0,0,0,"1,944,720,279","2,297,489,573",78,89,"29,418,621","25,814,490",24,20,9,71,02-A,"1,944,720,279",02-A,"2,074,945,773","8,331,321","2,246,051,741","3,016,877,088","19,287,086",13,15,14,30
3,RK-3,16378910738,1254478713,7.66%,36332919672,158146590,39167342973,180,91009958,32,68,50,7,4,1,"11,224,709,598","17,686,080,624",419,599,"42,147,119","29,526,011",2,1,10,337,"RK-3,-RK-","14,562,855,473","RK-3,-RK-","16,378,910,738","1,254,478,713","36,332,919,672","39,167,342,973","158,146,590",55,7,8,0
4,RvO,2960133741,4974739,0.17%,1418880387,28367542,3311319750,56,49379657,6,5,0,1,0,0,"2,293,271,408","3,324,229,479",127,137,"26,124,200","24,264,449",28,23,9,109,RvO,"2,293,271,408",RvO,"2,960,133,741","4,974,739","1,418,880,387","3,311,319,750","28,367,542",26,23,22,32
5,LUNO,18012540711,1866486887,10.36%,65894362963,165113087,47309962781,149,120561711,3,24,54,30,16,8,"16,265,052,567","19,565,583,133",558,613,"35,030,149","31,917,754",16,0,15,430,LUNO,"16,265,052,567",LUNO,"18,012,540,711","1,866,486,887","65,894,362,963","47,309,962,781","165,113,087",54,7,2,1
6,MNFG,5153807230,41159162,0.80%,2661416987,49206075,6932326818,102,48128247,12,2,1,0,0,0,"4,492,851,492","5,575,304,155",183,190,"30,446,001","29,343,706",0,0,7,163,MNFG,"4,492,851,492",MNFG,"5,153,807,230","41,159,162","2,661,416,987","6,932,326,818","49,206,075",22,38,55,71
7,TOC,4230994268,128167545,3.03%,5055527437,43554764,7735597150,59,68580862,18,12,9,0,0,0,"3,744,803,353","4,422,771,676",107,120,"41,276,539","36,856,431",0,0,8,91,TOC,"3,744,803,353",TOC,"4,230,994,268","128,167,545","5,055,527,437","7,735,597,150","43,554,764",14,11,7,10
8,M-T,2655457696,65047390,2.45%,2118043031,17577026,2823481828,54,44384219,5,3,3,0,0,0,"1,589,588,658","2,855,833,688",98,103,"29,117,461","27,726,541",38,27,4,78,M-T,"1,589,588,658",M-T,"2,655,457,696","65,047,390","2,118,043,031","2,823,481,828","17,577,026",9,41,9,35
9,INW4,7597571340,573240587,7.55%,11608915697,96512216,16211522495,118,60939371,38,11,6,1,0,0,"7,505,391,004","8,424,477,227",268,279,"31,408,376","30,195,259",0,0,6,261,INW4,"7,505,391,004",INW4,"7,597,571,340","573,240,587","11,608,915,697","16,211,522,495","96,512,216",45,19,46,1
10,Hey-,3585464842,12616639,0.35%,2353730832,31991495,4001819848,65,50614293,6,5,3,1,0,0,"3,203,802,951","3,782,438,944",109,117,"34,661,401","32,328,538",53,36,3,96,Hey-,"3,203,802,951",Hey-,"3,585,464,842","12,616,639","2,353,730,832","4,001,819,848","31,991,495",13,29,28,13
11,Ex-,11755979837,941944389,8.01%,30198237466,118206768,29204170779,137,86019450,31,53,30,5,0,1,"10,835,290,511","12,991,959,703",340,371,"38,181,040","35,018,759",0,0,12,349,"Ex-,EvM","11,947,564,872","Ex-,EvM","11,755,979,837","941,944,389","30,198,237,466","29,204,170,779","118,206,768",46,6,8,0
12,PHTM,9128045150,438848896,4.81%,10045139823,108093241,17068926330,144,59440390,45,18,6,0,0,0,"7,818,660,088","9,544,243,487",239,251,"39,909,608","38,024,874",0,0,5,218,PHTM,"7,818,660,088",PHTM,"9,128,045,150","438,848,896","10,045,139,823","17,068,926,330","108,093,241",26,37,51,0
13,NORA,1778678693,855150,0.05%,850364539,10061145,1834677469,39,42168249,6,1,1,0,0,0,"1,503,590,655","2,126,957,778",102,109,"20,809,672","19,513,374",34,14,6,96,NORA,"1,503,590,655",NORA,"1,778,678,693","855,150","850,364,539","1,834,677,469","10,061,145",14,23,10,12
14,Ss77,4460125090,99791381,2.24%,4287039587,47908293,7512029930,82,49539972,13,1,1,2,0,0,"2,518,566,148","4,765,239,058",153,162,"31,110,375","29,415,056",0,0,6,134,"Ss77,LfT","3,576,475,475","Ss77,LfT","4,460,125,090","99,791,381","4,287,039,587","7,512,029,930","47,908,293",21,38,35,28
15,!GOD,2728125320,2908502,0.11%,3411529420,10853253,3691111585,43,59800587,5,6,6,0,0,0,"1,898,268,605","2,826,819,161",67,75,"42,116,539","37,690,922",0,0,5,58,!GOD,"1,898,268,605",!GOD,"2,728,125,320","2,908,502","3,411,529,420","3,691,111,585","10,853,253",10,18,9,55
16,WTF,8856050129,515033664,5.82%,13139157693,84037096,19790415104,135,62545692,42,20,12,1,0,0,"7,045,932,768","9,312,141,555",225,240,"41,354,344","38,800,590",0,0,10,211,WTF,"7,045,932,768",WTF,"8,856,050,129","515,033,664","13,139,157,693","19,790,415,104","84,037,096",32,30,31,1
17,ED:2,17820836845,1473446659,8.27%,41485938786,170993231,45458920768,199,89455626,34,78,59,6,1,1,"14,962,578,048","19,207,706,192",441,449,"43,549,037","42,778,856",0,0,12,416,"ED:2,'ED'","16,011,983,254","ED:2,'ED'","17,820,836,845","1,473,446,659","41,485,938,786","45,458,920,768","170,993,231",63,6,11,0
18,BLOC,13640797526,351531405,2.58%,17836798722,118111244,24647498452,204,65205543,63,38,10,2,1,0,"10,468,934,288","14,116,774,230",296,303,"47,679,367","46,590,014",0,0,6,290,"BLOC,BLDS","12,861,326,581","BLOC,BLDS","13,640,797,526","351,531,405","17,836,798,722","24,647,498,452","118,111,244",23,35,62,2
19,EXP,2557034014,51570592,2.02%,3435622518,17330710,4132540623,36,68462835,10,11,3,0,0,0,"2,299,047,792","2,774,922,739",74,79,"37,466,005","35,125,604",30,25,9,62,EXP,"2,299,047,792",EXP,"2,557,034,014","51,570,592","3,435,622,518","4,132,540,623","17,330,710",13,10,3,62
20,BD20,8524832985,400310842,4.70%,13069204250,104310789,17732315858,129,62446335,34,15,13,1,0,0,"6,000,052,772","9,022,681,281",247,262,"36,496,073","34,437,715",0,0,6,223,"BD20,20BD","7,101,974,933","BD20,20BD","8,524,832,985","400,310,842","13,069,204,250","17,732,315,858","104,310,789",22,36,42,0
21,GoH,3879193286,73293572,1.89%,3000579772,33168982,5544394109,75,46821286,11,3,1,1,0,0,"3,198,363,227","4,101,208,553",128,143,"31,970,408","28,679,780",0,0,6,111,GoH,"3,198,363,227",GoH,"3,879,193,286","73,293,572","3,000,579,772","5,544,394,109","33,168,982",19,40,27,3
22,VP22,15138715463,1787073191,11.80%,35529280326,149113503,40419515099,189,77953017,46,61,35,2,0,0,"12,294,143,234","16,399,233,594",391,415,"41,903,408","39,516,226",0,0,11,357,"VP22,VP-2,VP-3","15,130,022,951","VP22,VP-2,VP-3","15,138,715,463","1,787,073,191","35,529,280,326","40,419,515,099","149,113,503",65,20,27,1
23,RkT,6787706589,39982041,0.59%,8242526059,46112764,11941350838,87,73055886,25,26,8,2,0,0,"3,908,673,558","6,991,471,874",143,149,"48,879,623","46,922,630",65,47,11,116,"RkT,HaN","5,102,251,913","RkT,HaN","6,787,706,589","39,982,041","8,242,526,059","11,941,350,838","46,112,764",11,21,18,0
24,ASG-,2003729133,2239524,0.11%,942178536,17408646,2184577722,36,47596402,8,2,0,0,0,0,"1,213,052,878","2,287,285,010",88,92,"25,962,008","24,861,794",23,18,8,64,ASG-,"1,213,052,878",ASG-,"2,003,729,133","2,239,524","942,178,536","2,184,577,722","17,408,646",13,22,14,60
25,@RFF,1927477998,18693074,0.97%,1437529592,22459479,2806352159,41,42816719,6,0,0,0,0,0,"1,239,462,861","2,206,354,007",93,106,"23,661,416","20,814,660",19,12,5,81,@RFF,"1,239,462,861",@RFF,"1,927,477,998","18,693,074","1,437,529,592","2,806,352,159","22,459,479",20,18,17,19
26,~BL~,1401131585,776497,0.06%,535831171,8777162,1397964724,27,45875524,6,0,0,0,0,0,"1,104,530,228","1,788,773,021",86,102,"20,662,479","17,536,990",19,8,9,76,~BL~,"1,104,530,228",~BL~,"1,401,131,585","776,497","535,831,171","1,397,964,724","8,777,162",19,11,12,45
27,LAWS,11889863127,528520345,4.45%,18635898641,116353717,24039433450,155,74778695,46,48,18,2,1,0,"9,676,188,365","12,439,448,893",255,261,"48,771,742","47,660,724",0,0,5,218,"LAWS,LAWA","11,187,874,344","LAWS,LAWA","11,889,863,127","528,520,345","18,635,898,641","24,039,433,450","116,353,717",26,23,25,0
28,KT_,5456007774,123222830,2.26%,5162088153,45603751,8576917311,84,63203112,27,15,6,0,0,0,"3,766,634,221","5,656,793,805",124,131,"45,571,160","43,181,632",0,0,4,109,"KT_,RR~A","4,789,328,096","KT_,RR~A","5,456,007,774","123,222,830","5,162,088,153","8,576,917,311","45,603,751",10,15,23,36
29,SGW,2969996250,72167253,2.43%,3583765330,23305000,4582867890,47,60558080,7,6,6,0,0,0,"2,331,221,760","3,185,582,987",96,106,"33,096,747","30,052,670",0,0,8,83,SGW,"2,331,221,760",SGW,"2,969,996,250","72,167,253","3,583,765,330","4,582,867,890","23,305,000",11,14,14,85
30,30NA,24705356219,2569474522,10.40%,74736847785,328223562,65471421163,221,111866488,20,64,72,25,19,11,"22,767,701,917","27,456,833,132",728,874,"37,682,046","31,415,141",0,0,17,809,"30NA,30NB","24,640,310,578","30NA,30NB","24,705,356,219","2,569,474,522","74,736,847,785","65,471,421,163","328,223,562",111,1,3,0
