KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+,Total KD Power,#1 Ally Power,CH16,Lords,CH16 AP,Lords AP,60M+,CH16 Kvk,CH25 Kvk,Allies,Ally Lords,Unique Alliances in KD,Top 600 Power,Top 600 Merits,Top 600 Kills,Top 600 Heals,Top 600 Deads,10-20M,20-40M,40-60M,,
1,FVP,4081210357,37586500,0.92%,3686093384,37617021,5982255364,69,53868193,"4,350,786,939",11,4,0,0,0,1,1,1,0,0,0,0,23,127,"34,050,691",429,"10,141,694",51,36,8,121,"3,743,310,850",FVP,"3,743,310,850",FVP,"4,081,210,357","37,586,500","3,686,093,384","5,982,255,364","37,617,021",20,26,24
2,02-A,1593222993,11323,0.00%,1125539849,15372630,1903550378,28,54910065,"1,870,148,988",3,3,0,0,0,0,0,0,0,0,0,0,10,79,"23,379,907",263,"7,110,833",20,14,11,71,"1,254,200,113",02-A,"1,254,200,113",02-A,"1,593,222,993","11,323","1,125,539,849","1,903,550,378","15,372,630",12,11,8
3,-RK-,17252450490,2436604154,14.12%,53002106689,200428829,49974314023,159,108785197,"18,940,878,201",144,108,27,12,1,110,33,16,5,2,1,1,155,449,"42,119,669",600,"31,568,130",0,0,8,429,"16,770,219,894","-RK-,RK-3","17,808,438,993","-RK-,RK-3","17,252,450,490","2,436,604,154","53,002,106,689","49,974,314,023","200,428,829",72,0,1
4,RvO,2816016675,31587456,1.12%,1882342819,34660444,3881133378,49,54263296,"3,187,815,691",8,1,0,0,0,0,0,0,0,0,0,0,20,119,"26,560,200",283,"11,264,366",0,0,7,80,"2,347,054,322",RvO,"2,347,054,322",RvO,"2,816,016,675","31,587,456","1,882,342,819","3,881,133,378","34,660,444",12,22,13
5,OMG4,20871145523,3842559299,18.41%,96559478095,266365739,68437822414,155,135262137,"23,069,779,399",140,130,78,48,17,138,92,42,21,10,8,4,143,550,"41,896,845",599,"38,513,822",0,0,15,460,"20,569,228,533",OMG4,"20,569,228,533",OMG4,"20,871,145,523","3,842,559,299","96,559,478,095","68,437,822,414","266,365,739",83,2,1
6,FG-2,6573355091,146537672,2.23%,6681161262,73991956,13772859663,102,62275293,"6,907,692,834",20,4,0,0,0,2,0,0,0,0,0,0,55,164,"41,967,191",295,"23,415,908",104,81,9,192,"5,971,745,620",FG-2,"5,971,745,620",FG-2,"6,573,355,091","146,537,672","6,681,161,262","13,772,859,663","73,991,956",16,23,28
7,40K,5633714725,504699490,8.96%,7450514004,72485164,12650448855,69,77678245,"5,912,957,878",31,14,2,0,0,17,4,1,1,1,0,0,53,124,"47,354,348",334,"17,703,467",0,0,10,200,"5,273,836,226",40K,"5,273,836,226",40K,"5,633,714,725","504,699,490","7,450,514,004","12,650,448,855","72,485,164",13,12,12
8,F8TE,13953143499,1492563647,10.70%,34596756134,173383790,37820541343,175,79402733,"15,643,937,258",96,53,9,1,0,58,21,6,2,0,0,0,130,402,"38,823,970",567,"27,590,718",0,0,5,354,"11,384,899,052","F8TE,~F8F,~F8W","14,310,825,304","F8TE,~F8F,~F8W","13,953,143,499","1,492,563,647","34,596,756,134","37,820,541,343","173,383,790",82,19,18
9,INW4,9353869111,1294931065,13.84%,21100028982,179162092,25761463295,136,67564631,"10,834,293,739",40,18,2,0,0,44,23,7,2,1,0,0,85,325,"33,227,817",500,"21,668,587",0,0,6,310,"9,296,772,478",INW4,"9,296,772,478",INW4,"9,353,869,111","1,294,931,065","21,100,028,982","25,761,463,295","179,162,092",70,21,29
10,Hey-,3023790453,3050657,0.10%,2183079533,25712926,3000580160,52,54636726,"3,173,780,774",9,5,2,1,0,0,0,0,0,0,0,0,17,83,"37,961,166",219,"14,492,150",37,29,4,82,"2,885,134,938",Hey-,"2,885,134,938",Hey-,"3,023,790,453","3,050,657","2,183,079,533","3,000,580,160","25,712,926",5,21,18
