KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+,Total KD Power,#1 Ally Power,CH16,Lords,CH16 AP,Lords AP,60M+,CH16 Kvk,CH25 Kvk,Allies,Ally Lords,Unique Alliances in KD,Top 600 Power,Top 600 Merits,Top 600 Kills,Top 600 Heals,Top 600 Deads,10-20M,20-40M,40-60M
1,FVP,5442117349,595119,0.01%,6448900974,69824435,10012723470,86,59772415,0,0,0,0,0,17,8,0,0,0,0,0,"5,779,352,507","5,254,831,069",150,453,"38,342,217","12,757,953",35,89,65,8,142,FVP,"5,442,117,349","595,119","6,448,900,974","10,012,723,470","69,824,435",16,31,29
2,02-A,1796123107,29191653,1.63%,2445099497,14899579,2597331636,26,64871001,1,0,0,0,0,6,4,0,0,0,0,0,"1,999,802,717","1,366,562,553",69,253,"28,612,698","7,904,359",12,0,0,10,66,02-A,"1,796,123,107","29,191,653","2,445,099,497","2,597,331,636","14,899,579",10,5,10
3,-RK-,12987805121,1017160348,7.83%,37569018039,173499885,39700330112,118,110318145,41,6,2,0,0,106,82,24,8,1,1,1,"14,397,334,110","12,386,717,439",321,549,"44,774,348","26,224,652",114,0,0,9,284,-RK-,"12,987,805,121","1,017,160,348","37,569,018,039","39,700,330,112","173,499,885",66,2,0
4,RvO,3577681155,121226613,3.39%,3533879849,48744525,6143915434,55,61930461,5,1,0,0,0,15,4,0,0,0,0,0,"3,915,588,555","3,021,181,201",132,297,"29,450,216","13,183,800",30,0,0,10,94,RvO,"3,577,681,155","121,226,613","3,533,879,849","6,143,915,434","48,744,525",10,22,8
5,OMG,17225819163,2199123660,12.77%,82420374612,255447934,60119207112,121,142591354,99,46,16,6,2,110,104,69,41,16,6,4,"19,380,908,750","17,398,836,889",518,600,"37,359,694","32,301,515",111,0,0,14,415,OMG,"17,225,819,163","2,199,123,660","82,420,374,612","60,119,207,112","255,447,934",78,4,0
6,FG-2,6685006760,95055,0.00%,6427382577,63895871,13230483525,99,65758035,0,0,0,0,0,27,6,0,0,0,0,0,"7,068,123,579","6,068,577,438",162,287,"43,482,127","24,627,608",58,74,63,11,168,FG-2,"6,685,006,760","95,055","6,427,382,577","13,230,483,525","63,895,871",15,19,27
7,40K,3175101708,135953110,4.28%,3675335878,50431700,7042043438,40,72894548,3,1,0,0,0,14,8,2,0,0,0,0,"3,372,073,038","2,656,230,466",83,245,"40,364,532","13,763,563",28,0,0,8,114,40K,"3,175,101,708","135,953,110","3,675,335,878","7,042,043,438","50,431,700",16,10,6
8,F8TE,13138857385,985351676,7.50%,33676140656,176346590,37011941656,157,84001100,41,5,1,0,0,93,57,19,5,0,0,0,"14,934,442,924","12,288,968,203",372,534,"40,059,259","27,967,122",119,0,0,6,326,F8TE,"13,138,857,385","985,351,676","33,676,140,656","37,011,941,656","176,346,590",87,15,11
9,INW4,10280727287,1140408370,11.09%,25817865959,242778307,30423032035,140,72764665,37,14,6,4,1,55,23,6,1,0,0,0,"11,748,344,799","7,456,392,778",333,498,"35,184,272","23,591,054",98,0,0,8,300,"INW4,INW","10,280,727,287","1,140,408,370","25,817,865,959","30,423,032,035","242,778,307",74,11,23
10,Hey-,2999620426,45055,0.00%,2798446143,31694590,3173100485,49,58188729,0,0,0,0,0,10,6,4,1,0,0,0,"3,098,347,095","2,737,866,163",70,209,"43,918,321","14,824,627",18,27,23,4,69,Hey-,"2,999,620,426","45,055","2,798,446,143","3,173,100,485","31,694,590",2,20,15
11,Ex-,2198421370,91505775,4.16%,6045845123,35534216,6279032796,25,87336766,2,2,0,0,0,15,10,2,1,1,0,0,"2,584,554,457","1,851,224,041",105,243,"24,363,505","10,636,027",18,0,0,9,120,Ex-,"2,198,421,370","91,505,775","6,045,845,123","6,279,032,796","35,534,216",8,3,4
12,PHTM,3160070306,19143335,0.61%,2989294469,37929774,5533751028,53,57637106,0,0,0,0,0,8,5,1,0,0,0,0,"3,363,187,623","2,851,569,277",94,228,"35,529,471","14,750,823",19,36,30,7,88,PHTM,"3,160,070,306","19,143,335","2,989,294,469","5,533,751,028","37,929,774",11,14,21
13,NORA,1574025604,8103546,0.51%,666282248,10767661,1598637840,27,54232433,0,0,0,0,0,2,0,0,0,0,0,0,"1,813,929,841","1,444,648,335",63,193,"28,398,928","9,398,600",11,0,0,7,60,NORA,"1,574,025,604","8,103,546","666,282,248","1,598,637,840","10,767,661",17,7,10
14,LfT,5698871564,48219991,0.85%,6047846813,61372452,9504456291,78,67438004,1,0,0,0,0,26,15,2,1,0,0,0,"6,023,738,051","4,945,759,553",144,266,"41,659,726","22,645,632",41,86,63,3,115,LfT,"5,698,871,564","48,219,991","6,047,846,813","9,504,456,291","61,372,452",17,30,18
15,LMA0,2407338196,27440,0.00%,2704533348,10106875,2907174491,39,58434798,0,0,0,0,0,10,4,1,0,0,0,0,"2,562,646,042","1,603,044,368",69,202,"36,807,255","12,686,367",13,6,5,4,56,LMA0,"2,407,338,196","27,440","2,704,533,348","2,907,174,491","10,106,875",6,13,18
16,WTF,10836869877,1018395203,9.40%,27613728585,159992920,29744155787,125,86268397,36,11,4,3,2,80,54,10,5,0,0,0,"11,560,688,408","10,054,504,832",222,353,"51,970,519","32,749,826",96,0,0,9,186,WTF,"10,836,869,877","1,018,395,203","27,613,728,585","29,744,155,787","159,992,920",36,19,8
17,'ED',18843741877,1940759196,10.30%,58123836194,260807273,61440522701,184,102590583,90,18,4,1,0,153,116,32,6,2,0,0,"20,374,092,824","17,493,534,216",370,600,"54,982,836","33,956,821",168,0,0,10,376,'ED',"18,843,741,877","1,940,759,196","58,123,836,194","61,440,522,701","260,807,273",67,6,5
18,,2289877564,11517627,0.50%,1913956509,18535673,3069696233,37,57871042,1,0,0,0,0,5,2,1,0,0,0,0,"2,433,057,912",,66,214,"36,446,561","11,369,429",15,21,15,5,74,,"2,289,877,564","11,517,627","1,913,956,509","3,069,696,233","18,535,673",4,13,14
19,'EXP,1799164792,47238623,2.63%,3175140571,12692766,3588759907,24,70794241,1,1,0,0,0,10,6,1,0,0,0,0,"2,075,848,242","1,804,609,659",74,209,"27,709,550","9,932,288",13,25,14,10,100,'EXP,"1,799,164,792","47,238,623","3,175,140,571","3,588,759,907","12,692,766",11,5,8
20,BD20,1965584523,8682911,0.44%,1206591334,21459122,2871401422,35,49933394,0,0,0,0,0,4,1,0,0,0,0,0,"2,119,837,114","1,375,917,336",67,203,"31,279,229","10,442,547",13,0,0,4,56,BD20,"1,965,584,523","8,682,911","1,206,591,334","2,871,401,422","21,459,122",8,21,7
21,W E,9846950784,233022946,2.37%,7926895914,124185323,15605055372,187,49072061,6,1,0,0,0,20,6,3,0,0,0,0,"10,440,406,117","6,287,226,610",302,444,"34,483,239","23,514,428",45,166,123,6,231,"W E,WEC","9,846,950,784","233,022,946","7,926,895,914","15,605,055,372","124,185,323",43,90,65
22,VP22,14520510392,1492509413,10.28%,40589422902,207571422,47639708006,153,94424111,60,13,3,1,1,112,74,12,1,1,0,0,"16,085,104,371","14,379,562,841",362,552,"44,340,096","29,139,682",135,0,0,9,334,VP22,"14,520,510,392","1,492,509,413","40,589,422,902","47,639,708,006","207,571,422",64,8,13
23,,2344197821,2326505,0.10%,2252223503,16292759,3312865634,34,65131506,0,0,0,0,0,11,3,1,0,0,0,0,"2,527,824,266",,77,259,"32,448,166","9,759,939",21,16,9,12,61,,"2,344,197,821","2,326,505","2,252,223,503","3,312,865,634","16,292,759",5,9,6
24,ASG-,3219014472,49907965,1.55%,1713248207,24596968,3950850443,60,48552730,0,0,0,0,0,4,1,0,0,0,0,0,"3,586,168,315","1,443,588,749",143,297,"24,859,528","12,074,641",12,0,0,9,129,ASG-,"3,219,014,472","49,907,965","1,713,248,207","3,950,850,443","24,596,968",19,28,27
25,,1762075152,3579960,0.20%,602713349,16678215,1489409192,34,44587392,0,0,0,0,0,0,0,0,0,0,0,0,"1,964,239,038",,77,225,"25,174,587","8,729,951",8,13,11,7,44,,"1,762,075,152","3,579,960","602,713,349","1,489,409,192","16,678,215",8,19,12
26,LA-B,5197224017,8078071,0.16%,3840786246,50391031,7701374887,94,48413554,0,0,0,0,0,10,3,0,0,0,0,0,"5,831,820,159","4,417,153,056",213,386,"27,219,424","15,108,342",25,110,58,6,186,LA-B,"5,197,224,017","8,078,071","3,840,786,246","7,701,374,887","50,391,031",32,60,28
27,LAWS,8832213575,448416594,5.08%,15750032051,105923932,22037878618,103,83722375,16,1,0,0,0,63,30,4,1,1,0,0,"9,510,485,235","8,052,921,372",211,376,"44,928,540","25,293,844",80,0,0,9,176,LAWS,"8,832,213,575","448,416,594","15,750,032,051","22,037,878,618","105,923,932",24,16,11
28,RAvN,5030859772,187048202,3.72%,4632013580,56949774,9176275189,76,63536529,5,1,0,0,0,22,8,1,0,0,0,0,"5,378,668,859","5,032,618,276",132,301,"40,486,940","17,869,332",39,86,62,9,130,RAvN,"5,030,859,772","187,048,202","4,632,013,580","9,176,275,189","56,949,774",16,23,20
29,,1563664983,4667312,0.30%,1452456681,9430643,1827019969,26,56491009,0,0,0,0,0,6,3,1,0,0,0,0,"1,708,128,041",,57,253,"29,390,770","6,751,494",8,10,6,10,104,,"1,563,664,983","4,667,312","1,452,456,681","1,827,019,969","9,430,643",6,9,10
30,30NA,22026317484,3338161546,15.16%,97923675264,451804244,80372227480,157,140913256,140,72,32,12,4,144,132,82,46,21,9,6,"24,919,301,598","21,929,409,932",600,600,"41,532,169","41,532,169",147,0,0,20,555,30NA,"22,026,317,484","3,338,161,546","97,923,675,264","80,372,227,480","451,804,244",108,0,0
31,POTC,6251530387,206238089,3.30%,8672340225,86894298,13438850438,85,71131339,5,1,0,0,0,39,17,2,1,1,0,0,"6,762,652,284","5,178,362,817",188,462,"35,693,616","14,637,776",52,83,58,15,146,POTC,"6,251,530,387","206,238,089","8,672,340,225","13,438,850,438","86,894,298",20,19,17
32,BDF:,5500237572,6057866,0.11%,4577585370,40145297,8282811467,83,60696801,0,0,0,0,0,19,7,0,0,0,0,0,"6,155,282,444","3,611,417,426",230,537,"26,530,465","11,462,351",42,70,45,13,160,BDF:,"5,500,237,572","6,057,866","4,577,585,370","8,282,811,467","40,145,297",25,32,19
33,AM33,3126800223,143481139,4.59%,2868189278,31666088,3717273930,53,50826388,5,3,0,0,0,10,4,1,0,0,0,0,"3,893,614,763","2,088,370,861",181,434,"21,185,064","8,971,463",15,0,0,17,193,AM33,"3,126,800,223","143,481,139","2,868,189,278","3,717,273,930","31,666,088",48,29,14
34,-VC,3676749816,,0.00%,1543513613,33380109,4162043848,65,53726533,0,0,0,0,0,5,3,0,0,0,0,0,"3,990,288,435","3,233,925,804",130,386,"30,301,708","10,337,535",28,38,31,9,131,-VC,"3,676,749,816",,"1,543,513,613","4,162,043,848","33,380,109",15,19,20
35,,11316350158,287477980,2.54%,8436277939,129196228,17185895663,178,59988304,4,1,0,0,0,31,13,3,2,0,0,0,"12,107,334,607","6,101,873,617",326,524,"37,020,996","23,105,600",75,0,0,9,251,,"11,316,350,158","287,477,980","8,436,277,939","17,185,895,663","129,196,228",44,57,63
36,FSK,17061564843,2151602135,12.61%,55037073168,222605671,49254303670,172,91597123,84,31,15,7,7,109,78,26,11,4,2,1,"17,843,668,574","12,930,941,509",330,596,"53,909,999","29,939,041",124,0,0,13,298,"FSK,FSK2","17,061,564,843","2,151,602,135","55,037,073,168","49,254,303,670","222,605,671",51,48,30
37,CHUB,3153597590,40872872,1.30%,3075935260,25628988,4912839623,49,55235486,1,0,0,0,0,10,6,0,0,0,0,0,"3,511,490,385","2,259,930,148",131,323,"26,567,391","10,871,487",16,0,0,13,113,CHUB,"3,153,597,590","40,872,872","3,075,935,260","4,912,839,623","25,628,988",14,27,17
38,MOJO,17977832678,1358474268,7.56%,37579705678,182837116,45084983654,203,86962536,48,8,2,1,1,119,79,17,7,0,0,0,"18,799,543,585","15,975,892,459",338,541,"55,507,356","34,749,618",155,0,0,6,308,"MOJO,Toal","17,977,832,678","1,358,474,268","37,579,705,678","45,084,983,654","182,837,116",39,20,34
39,MoD,10869857469,810280530,7.45%,19768879817,104829530,24942863417,125,84847506,22,5,2,1,1,73,43,14,3,1,1,0,"11,696,108,537","9,821,701,423",240,431,"48,590,028","27,137,143",96,0,0,3,199,MoD,"10,869,857,469","810,280,530","19,768,879,817","24,942,863,417","104,829,530",52,13,15
40,TFS,27301770910,3903882574,14.30%,132881036316,712034508,98920124307,264,107352075,153,79,38,18,13,170,164,121,87,24,11,3,"31,665,744,515","26,840,576,523",600,600,"52,776,241","52,776,241",173,0,0,13,577,TFS,"27,301,770,910","3,903,882,574","132,881,036,316","98,920,124,307","712,034,508",224,1,0
41,TB-A,1911349383,22767985,1.19%,4044344543,36446080,4239109552,23,80888304,0,0,0,0,0,11,10,5,2,0,0,0,"2,295,711,451","1,085,935,115",141,399,"15,999,212","5,753,663",12,0,0,12,49,TB-A,"1,911,349,383","22,767,985","4,044,344,543","4,239,109,552","36,446,080",14,5,5
42,,1813664904,5828696,0.32%,1838082253,29418941,2609171198,35,50803976,0,0,0,0,0,4,2,2,0,0,0,0,"2,122,487,893",,101,274,"20,640,195","7,746,306",11,0,0,11,85,,"1,813,664,904","5,828,696","1,838,082,253","2,609,171,198","29,418,941",9,12,11
43,~ER~,6428624539,291939242,4.54%,7978601614,75023546,14431304259,78,78382339,6,1,0,0,0,39,15,2,0,0,0,0,"6,841,155,145","5,542,941,719",153,339,"44,480,278","20,180,399",60,0,0,7,122,~ER~,"6,428,624,539","291,939,242","7,978,601,614","14,431,304,259","75,023,546",26,10,13
44,APES,2645778410,37542007,1.42%,4359008027,46485379,5887555041,38,59942438,0,0,0,0,0,11,4,0,0,0,0,0,"3,176,475,353","1,185,051,585",219,510,"14,202,677","6,228,383",19,0,0,10,113,APES,"2,645,778,410","37,542,007","4,359,008,027","5,887,555,041","46,485,379",18,21,6
45,~~BB,14927180713,960931581,6.44%,25633892659,226549188,40492375585,187,78501294,29,3,0,0,0,98,49,5,0,0,0,0,"15,714,846,666","12,273,314,501",309,500,"50,752,291","31,429,693",135,207,149,6,241,"~~BB,BBFF","14,927,180,713","960,931,581","25,633,892,659","40,492,375,585","226,549,188",43,28,25
46,DawN,13801278513,791414152,5.73%,18815388779,148898784,27819169656,184,71637452,24,5,1,0,0,66,38,8,4,1,0,0,"14,449,243,022","11,682,833,248",321,503,"44,889,682","28,726,129",108,0,0,8,300,"DawN,GUNZ","13,801,278,513","791,414,152","18,815,388,779","27,819,169,656","148,898,784",36,43,46
47,-FU,12499786350,1495177868,11.96%,39075510956,200011625,40306659448,129,96701471,78,18,4,0,0,90,65,25,11,3,0,0,"13,743,299,185","12,357,717,174",329,532,"41,666,384","25,833,269",105,0,0,11,302,-FU,"12,499,786,350","1,495,177,868","39,075,510,956","40,306,659,448","200,011,625",62,8,10
48,MCU,12436581506,588294945,4.73%,16020948101,161635770,27866363414,167,71017390,11,2,0,0,0,60,30,3,1,0,0,0,"13,034,325,220","10,114,867,339",267,495,"48,668,761","26,331,970",111,0,0,12,265,"MCU,DCVL","12,436,581,506","588,294,945","16,020,948,101","27,866,363,414","161,635,770",39,33,34
49,NTS,28270451752,3175297758,11.23%,123138847876,593919374,93403685427,255,114241815,141,56,17,8,5,182,173,136,77,20,11,5,"32,159,813,815","28,088,754,268",600,600,"53,599,690","53,599,690",182,0,0,9,564,"NTS,NTW","28,270,451,752","3,175,297,758","123,138,847,876","93,403,685,427","593,919,374",177,1,0
50,50W,6835673431,1744082,0.03%,6056771429,60204079,10054084455,113,58436027,0,0,0,0,0,24,13,4,0,0,0,0,"7,188,894,291","6,402,048,277",174,364,"41,090,507","19,749,710",42,88,76,8,159,50W,"6,835,673,431","1,744,082","6,056,771,429","10,054,084,455","60,204,079",22,34,40
51,R4GE,8087194439,361598422,4.47%,13798396071,81035239,17278421447,103,75236552,9,3,0,0,0,45,25,4,1,0,0,0,"8,583,452,392","7,875,476,379",181,351,"47,254,675","24,454,280",63,0,0,6,181,R4GE,"8,087,194,439","361,598,422","13,798,396,071","17,278,421,447","81,035,239",28,24,25
52,YAP!,6381102249,309159094,4.84%,9721080875,70288373,11692625361,94,63819559,12,1,0,0,0,29,13,4,3,0,0,0,"7,083,844,917","5,069,516,343",222,419,"31,719,246","16,906,551",40,110,60,10,192,YAP!,"6,381,102,249","309,159,094","9,721,080,875","11,692,625,361","70,288,373",29,31,32
53,M/A,5364303924,45800761,0.85%,4090116311,59410078,8251381739,92,52168926,0,0,0,0,0,9,6,2,0,0,0,0,"5,787,387,840","3,024,443,054",183,325,"31,478,298","17,807,347",26,0,0,11,137,M/A,"5,364,303,924","45,800,761","4,090,116,311","8,251,381,739","59,410,078",27,43,34
54,:54:,1842116842,2192425,0.12%,783312134,14830116,2171167185,34,48901789,0,0,0,0,0,5,2,0,0,0,0,0,"2,039,375,409","1,555,488,072",69,254,"29,120,779","8,029,037",7,0,0,6,102,:54:,"1,842,116,842","2,192,425","783,312,134","2,171,167,185","14,830,116",8,20,13
55,OGV,10601115417,414885628,3.91%,13381389980,132261224,21456232067,140,73113622,11,1,0,0,0,57,29,5,1,0,0,0,"11,226,818,731","9,686,895,780",238,435,"47,034,032","25,808,779",88,0,0,7,221,OGV,"10,601,115,417","414,885,628","13,381,389,980","21,456,232,067","132,261,224",29,30,30
56,K-56,4853568062,779969,0.02%,5247729101,44115408,7257046576,61,73252166,0,0,0,0,0,23,14,3,0,0,0,0,"5,052,102,876","3,580,952,830",113,286,"44,429,291","17,664,695",43,48,37,14,125,K-56,"4,853,568,062","779,969","5,247,729,101","7,257,046,576","44,115,408",11,21,6
57,,897939298,5197,0.00%,1002968671,10071809,1480209197,16,47494997,0,0,0,0,0,2,1,0,0,0,0,0,"1,144,842,750",,63,241,"17,639,498","4,750,385",4,4,3,10,40,,"897,939,298","5,197","1,002,968,671","1,480,209,197","10,071,809",10,12,3
58,88D,2820089496,47522028,1.69%,4031677123,31804457,5186709570,42,67107020,2,0,0,0,0,13,10,2,1,0,0,0,"3,067,807,774","2,619,271,795",75,267,"40,426,657","11,489,917",23,24,20,9,63,88D,"2,820,089,496","47,522,028","4,031,677,123","5,186,709,570","31,804,457",12,7,8
