KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+
1,FVP,"6,891,293,211","398,236,289",5.78%,"9,561,357,224","94,538,893","13,981,895,359",106,"62,212,469",10,5,3,1,1,24,16,1,0,0,0,0
2,02-A,"1,627,053,845","70,381,110",4.33%,"2,524,193,483","13,950,850","2,478,926,971",23,"66,331,655",2,2,1,0,0,5,4,0,0,0,0,0
3,-RK-,"10,668,847,716","1,119,236,326",10.49%,"31,717,576,105","153,469,526","34,435,134,479",97,"110,247,091",47,13,4,2,1,86,73,23,7,1,1,0
4,RvO,"4,832,199,372","420,232,358",8.70%,"9,248,356,376","95,593,054","12,064,801,630",64,"72,943,294",16,8,3,0,0,28,13,3,0,0,0,0
5,OMG,"16,951,932,697","1,967,555,420",11.61%,"83,952,239,801","283,305,553","62,735,643,009",120,"142,207,971",94,34,14,5,2,106,99,74,44,16,8,4
6,FG-2,"7,469,114,457","427,579,176",5.72%,"9,425,736,008","87,082,545","17,594,586,431",103,"70,049,795",14,3,1,1,0,34,13,1,1,1,0,0
7,,"1,503,552,090","635,964",0.04%,"1,957,345,330","17,135,044","2,509,636,486",22,"62,714,941",0,0,0,0,0,6,5,1,0,0,0,0
8,NWO~,"6,134,427,992","428,190,187",6.98%,"14,528,489,900","93,181,666","16,988,902,233",78,"78,340,810",17,3,2,0,0,43,24,8,2,0,0,0
9,INW4,"9,864,869,782","1,147,750,644",11.63%,"26,034,500,927","257,898,778","32,703,873,278",133,"73,359,896",41,12,7,1,1,54,24,3,1,0,0,0
10,Hey-,"3,221,981,798","100,545,136",3.12%,"4,505,122,801","36,209,046","4,357,696,048",48,"64,858,135",4,2,0,0,0,10,8,6,3,1,0,0
11,Ex-,"2,042,798,712","94,913,145",4.65%,"6,142,014,513","35,251,307","5,943,829,692",23,"86,712,831",3,2,1,0,0,13,8,2,1,1,0,0
12,PHTM,"1,926,963,904","12,758,044",0.66%,"1,264,768,819","24,574,723","2,868,259,458",36,"51,351,423",0,0,0,0,0,3,2,0,0,0,0,0
13,NORA,"1,402,131,355","8,632,794",0.62%,"562,682,962","9,234,513","1,411,299,036",23,"54,179,318",0,0,0,0,0,1,0,0,0,0,0,0
14,LfT,"7,368,193,652","288,752,425",3.92%,"11,584,041,357","103,074,404","14,630,472,044",99,"71,621,342",5,3,1,1,1,42,24,7,2,0,0,0
15,TRWA,"2,422,932,466","713,742",0.03%,"3,094,179,029","12,359,956","3,226,451,333",41,"57,426,891",0,0,0,0,0,9,6,1,0,0,0,0
16,WTF,"8,920,068,975","523,254,875",5.87%,"22,542,766,702","132,901,430","25,785,173,107",91,"96,378,755",13,3,2,0,0,69,51,9,3,0,0,0
17,'ED',"21,053,340,127","3,039,410,847",14.44%,"75,184,836,188","391,237,928","75,004,175,683",197,"107,370,106",135,47,19,9,5,168,142,49,17,2,0,0
18,,"1,650,284,202","1,702,279",0.10%,"1,031,373,474","10,857,528","1,923,749,116",25,"57,847,245",0,0,0,0,0,2,2,1,0,0,0,0
19,'EXP,"1,535,224,848","46,606,118",3.04%,"2,594,151,093","9,264,877","3,043,541,305",22,"66,279,017",2,0,0,0,0,7,5,1,0,0,0,0
20,BD20,"2,752,114,278","140,084,515",5.09%,"3,776,495,211","41,557,866","6,531,590,901",44,"56,781,842",6,1,0,0,0,12,4,0,0,0,0,0
21,W E,"8,960,850,751","192,149,286",2.14%,"6,574,950,144","124,239,195","14,620,729,926",163,"50,686,490",4,0,0,0,0,16,6,3,0,0,0,0
22,VP22,"16,278,170,595","2,229,168,755",13.69%,"48,566,611,725","259,974,820","57,772,750,037",167,"97,212,155",111,32,6,3,0,129,86,21,4,0,0,0
23,RkT,"2,322,493,196","7,118,057",0.31%,"2,693,151,855","15,859,494","3,570,315,198",29,"72,166,014",0,0,0,0,0,14,6,1,0,0,0,0
24,~SE,"2,327,455,870","9,266,829",0.40%,"673,286,442","20,144,037","2,321,012,362",50,"42,380,214",0,0,0,0,0,0,0,0,0,0,0,0
25,,"1,716,813,520","3,630,481",0.21%,"730,738,656","17,221,572","1,671,543,469",35,"42,257,736",0,0,0,0,0,2,1,0,0,0,0,0
26,LA-B,"5,406,126,227","237,923,247",4.40%,"4,853,391,922","58,390,568","8,522,793,064",90,"52,689,935",8,1,0,0,0,13,5,1,0,0,0,0
27,LAWS,"8,282,567,729","890,728,520",10.75%,"18,080,272,238","109,254,578","23,076,057,346",87,"92,307,234",38,9,3,1,1,63,36,9,2,1,0,0
28,RAvN,"6,850,306,995","352,652,611",5.15%,"7,759,509,781","80,587,199","13,585,011,335",104,"62,821,384",13,2,0,0,0,29,9,1,0,0,0,0
29,SGW,"4,769,674,500","69,318,653",1.45%,"3,873,550,311","47,403,894","6,810,932,549",86,"50,048,356",1,0,0,0,0,10,5,1,0,0,0,0
30,30NA,"20,017,319,213","3,095,783,881",15.47%,"94,985,554,371","470,639,321","80,708,025,888",146,"137,737,295",125,67,32,12,4,131,120,84,44,16,6,4
31,POTC,"7,582,473,198","399,066,435",5.26%,"12,590,457,630","124,687,673","18,292,577,657",97,"74,843,676",13,2,1,0,0,45,17,5,3,1,0,0
32,BDF:,"5,587,542,208","331,576,623",5.93%,"5,260,185,965","54,341,019","9,382,118,527",82,"61,336,035",12,2,2,1,1,22,7,2,0,0,0,0
33,AM33,"9,925,108,671","684,309,224",6.89%,"15,461,839,518","107,945,961","22,765,575,720",130,"74,432,482",23,6,1,1,0,62,39,10,0,0,0,0
34,-VC,"4,149,344,729","88,716,726",2.14%,"1,963,896,811","37,639,238","4,795,794,440",69,"56,474,142",1,1,1,1,0,8,3,0,0,0,0,0
35,,"7,515,368,055","173,464,007",2.31%,"3,292,791,851","89,807,351","9,801,657,280",122,"57,729,564",3,0,0,0,0,23,6,0,0,0,0,0
36,FSK,"14,976,348,235","1,582,244,986",10.56%,"48,976,133,434","228,630,810","44,706,436,612",151,"91,360,869",62,21,10,5,4,89,75,23,10,4,2,1
37,CHUB,"4,261,990,128","257,650,656",6.05%,"6,652,060,320","42,873,527","8,834,273,545",66,"60,504,914",7,5,2,1,0,19,9,3,1,0,0,0
38,MOJO,"8,028,306,999","350,779,323",4.37%,"9,384,819,638","85,326,233","17,081,101,235",105,"73,298,024",6,0,0,0,0,44,24,3,1,0,0,0
39,CRKT,"2,075,014,106","78,661,777",3.79%,"4,624,978,938","24,063,776","3,962,174,170",27,"71,429,921",1,1,1,1,1,12,9,3,1,0,0,0
40,TFS,"16,285,069,102","2,983,142,392",18.32%,"79,329,917,681","485,692,081","61,839,520,175",158,"106,798,862",91,63,31,17,13,97,95,80,56,19,5,2
41,,"1,669,108,006","590,431",0.04%,"3,317,937,626","29,879,042","3,592,310,248",19,"87,847,790",0,0,0,0,0,12,9,4,1,0,0,0
42,,"1,511,523,375","1,191,276",0.08%,"858,494,673","19,707,040","1,648,589,590",33,"43,726,629",0,0,0,0,0,2,1,0,0,0,0,0
43,~ER~,"5,691,288,915","372,058,447",6.54%,"7,868,476,571","71,988,494","13,410,814,449",70,"78,292,883",12,6,1,1,0,35,17,3,0,0,0,0
44,APES,"2,118,182,381","4,592,270",0.22%,"3,237,893,003","31,761,764","4,175,628,555",32,"56,545,921",0,0,0,0,0,8,3,0,0,0,0,0
45,~~BB,"13,452,925,571","1,268,607,441",9.43%,"28,370,620,170","224,927,869","41,763,398,375",165,"80,124,475",56,6,1,0,0,96,44,4,0,0,0,0
46,DawN,"11,851,122,940","474,163,724",4.00%,"19,447,347,954","147,405,470","27,330,137,996",147,"77,733,670",8,1,1,1,1,67,38,9,4,1,0,0
47,-FU,"13,011,349,195","1,988,177,438",15.28%,"47,536,128,538","290,359,912","47,159,908,354",127,"101,757,411",84,34,13,3,3,94,73,30,11,3,0,0
